id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,46613,0,180,344,206,164.0625,236.4375,1.0458412170410156,0.9917358756065369,0,0,500,388
1,114582,0,0,499,386,476.5625,345.5625,1.031234622001648,0.9775664210319519,0,0,500,388
2,17394,28,21,290,174,289.0625,54.5625,1.0311402082443237,0.9668214321136475,0,0,500,388
3,46579,0,92,345,294,101.5625,212.1875,1.0071120262145996,0.9653880596160889,0,0,500,388
4,7326,151,21,167,78,179.6875,78.8125,1.0023449659347534,0.9790710210800171,0,0,500,388
5,1142,0,0,40,58,23.4375,18.1875,1.0023165941238403,0.9947597980499268,0,0,500,388
6,7278,313,277,159,108,367.1875,345.5625,1.0016238689422607,0.9829908609390259,0,0,500,388
7,546,0,294,19,40,7.8125,321.3125,0.9875692129135132,0.9926874041557312,0,0,500,388
8,1830,382,366,117,21,445.3125,381.9375,0.9761691689491272,0.9799457788467407,0,0,500,388
9,9729,28,58,175,132,70.3125,103.0625,0.9708811044692993,0.9532953500747681,0,0,500,388
10,294,131,178,18,19,148.4375,187.9375,0.9690185189247131,0.9765100479125977,0,0,500,388
11,556,468,328,31,19,476.5625,345.5625,0.9688519835472107,0.9750000238418579,0,0,500,388
12,767,341,369,70,18,382.8125,381.9375,0.9439480900764465,0.9703608155250549,0,0,500,388
13,513,201,152,60,13,242.1875,163.6875,0.942801833152771,0.978805422782898,0,0,500,388
14,437,441,276,26,19,445.3125,284.9375,0.9422529935836792,0.9663677215576172,0,0,500,388
15,45,52,136,17,3,54.6875,139.4375,0.93791264295578,0.9777777791023254,0,0,500,388
16,4841,27,58,110,81,117.1875,90.9375,0.9353767037391663,0.950954794883728,0,0,500,388
17,360,311,340,51,15,320.3125,345.5625,0.9221416711807251,0.9725274443626404,0,0,500,388
18,93,195,137,9,16,195.3125,139.4375,0.914632260799408,0.9789473414421082,0,0,500,388
19,307,312,340,33,15,335.9375,345.5625,0.9060937762260437,0.9584664702415466,0,0,500,388
20,138,49,377,16,10,54.6875,381.9375,0.8813797831535339,0.949999988079071,0,0,500,388
