id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,45665,337,414,158,609,432.0,848.0,1.0109477043151855,0.9733837842941284,0,0,1024,1024
1,27540,337,578,158,274,464.0,656.0,1.008795142173767,0.984402596950531,0,0,1024,1024
2,5347,429,961,111,62,496.0,1008.0,1.0044277906417847,0.9895775318145752,0,0,1024,1024
3,13912,369,824,115,199,464.0,912.0,1.0039600133895874,0.9863649606704712,0,0,1024,1024
4,28816,685,563,234,460,880.0,880.0,1.0019899606704712,0.9620210528373718,0,0,1024,1024
5,7852,722,861,77,162,752.0,912.0,0.9992307424545288,0.9888551235198975,0,0,1024,1024
6,19030,789,813,131,210,880.0,912.0,0.9974830746650696,0.9751037359237671,0,0,1024,1024
7,21196,836,579,142,316,944.0,880.0,0.9962247610092163,0.9695085287094116,0,0,1024,1024
8,22644,138,793,134,230,208.0,816.0,0.9960577487945557,0.9764834046363831,0,0,1024,1024
9,18935,789,695,176,328,848.0,1008.0,0.9957177042961121,0.9765804409980774,0,0,1024,1024
10,27563,484,713,131,310,592.0,944.0,0.9942675828933716,0.9830459952354431,0,0,1024,1024
11,21068,686,624,293,276,976.0,848.0,0.9919332265853882,0.9680290818214417,0,0,1024,1024
12,41339,681,473,147,550,784.0,848.0,0.9916172027587891,0.9769905805587769,0,0,1024,1024
13,7179,299,530,76,142,304.0,592.0,0.9910842180252075,0.9838263988494873,0,0,1024,1024
14,19433,724,813,196,210,912.0,944.0,0.9902998208999634,0.9577258825302124,0,0,1024,1024
15,4665,503,712,70,108,528.0,752.0,0.9902200102806091,0.9874387979507446,0,0,1024,1024
16,33823,206,619,168,374,272.0,656.0,0.9902001619338989,0.9752838015556335,0,0,1024,1024
17,1357,186,966,33,49,208.0,976.0,0.9900588393211365,0.9912087917327881,0,0,1024,1024
18,1913,773,432,51,56,784.0,464.0,0.9891861081123352,0.9691516757011414,0,0,1024,1024
19,4623,820,699,74,96,880.0,752.0,0.9888623356819153,0.9864632487297058,0,0,1024,1024
20,2568,537,944,36,79,560.0,1008.0,0.9886411428451538,0.9783867001533508,0,0,1024,1024
21,3564,28,903,44,120,48.0,1008.0,0.9878167510032654,0.9865996837615967,0,0,1024,1024
22,4458,9,629,51,147,48.0,752.0,0.9855582118034363,0.9846495985984802,0,0,1024,1024
23,6976,967,640,56,190,1008.0,784.0,0.9855446815490723,0.9805342555046082,0,0,1024,1024
24,11446,0,747,53,276,16.0,976.0,0.985528826713562,0.9888695478439331,0,0,1024,1024
25,41430,492,546,337,477,784.0,752.0,0.9842288494110107,0.9782276749610901,0,0,1024,1024
26,9711,284,465,90,207,304.0,592.0,0.9839637279510498,0.9750838875770569,0,0,1024,1024
