id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,46612,0,180,344,206,164.0625,236.4375,1.045835256576538,0.9917358756065369,0,0,500,388
1,114582,0,0,499,386,476.5625,345.5625,1.0312310457229614,0.9775577783584595,0,0,500,388
2,17394,28,21,290,174,289.0625,54.5625,1.0311285257339478,0.9669346809387207,0,0,500,388
3,46579,0,92,345,294,101.5625,212.1875,1.0071136951446533,0.9654684066772461,0,0,500,388
4,7328,151,21,167,78,179.6875,78.8125,1.002347469329834,0.9792060256004333,0,0,500,388
5,1142,0,0,40,58,23.4375,18.1875,1.0023154020309448,0.9947597980499268,0,0,500,388
6,7278,313,277,159,108,367.1875,345.5625,1.0016229152679443,0.9829908609390259,0,0,500,388
7,546,0,294,19,40,7.8125,321.3125,0.9875701069831848,0.9926874041557312,0,0,500,388
8,1830,382,366,117,21,445.3125,381.9375,0.9761665463447571,0.9799457788467407,0,0,500,388
9,9729,28,58,175,132,70.3125,103.0625,0.9708898067474365,0.9533953666687012,0,0,500,388
10,294,131,178,18,19,148.4375,187.9375,0.9690198302268982,0.9765100479125977,0,0,500,388
11,556,468,328,31,19,476.5625,345.5625,0.9688529372215271,0.9750000238418579,0,0,500,388
12,767,341,369,70,18,382.8125,381.9375,0.943946897983551,0.9703608155250549,0,0,500,388
13,513,201,152,60,13,242.1875,163.6875,0.9428015947341919,0.978805422782898,0,0,500,388
14,437,441,276,26,19,445.3125,284.9375,0.9422617554664612,0.9663677215576172,0,0,500,388
15,45,52,136,17,3,54.6875,139.4375,0.9379101395606995,0.9777777791023254,0,0,500,388
16,4840,27,58,110,81,117.1875,90.9375,0.9353849291801453,0.950954794883728,0,0,500,388
17,360,311,340,51,15,320.3125,345.5625,0.9221465587615967,0.9725274443626404,0,0,500,388
18,93,195,137,9,16,195.3125,139.4375,0.9146245718002319,0.9789473414421082,0,0,500,388
19,307,312,340,33,15,335.9375,345.5625,0.9060946106910706,0.9584664702415466,0,0,500,388
20,138,49,377,16,10,54.6875,381.9375,0.881388247013092,0.949999988079071,0,0,500,388
